mem_addr,lat,lon,gps_altitude,baro_altitude,temp,pres,timestamp,aux_data,realtime
9A0,0.0000000000,0.0000000000,0.0000000000,654.0000000000,0.0000000000,0.0000000000,39221,1073741824,32.14
9C0,0.0000000000,0.0000000000,0.0000000000,664.0000000000,0.0000000000,0.0000000000,39722,1073741824,32.64
9E0,0.0000000000,0.0000000000,0.0000000000,674.0000000000,0.0000000000,0.0000000000,40223,1073741824,33.14
A00,0.0000000000,0.0000000000,0.0000000000,684.0000000000,0.0000000000,0.0000000000,40886,1073741824,33.81
A20,0.0000000000,0.0000000000,0.0000000000,694.0000000000,0.0000000000,0.0000000000,41387,1073741824,34.31
A40,0.0000000000,0.0000000000,0.0000000000,704.0000000000,0.0000000000,0.0000000000,41888,1073741824,34.81
A60,0.0000000000,0.0000000000,0.0000000000,714.0000000000,0.0000000000,0.0000000000,42389,1073741824,35.31
A80,0.0000000000,0.0000000000,0.0000000000,724.0000000000,0.0000000000,0.0000000000,42890,1073741824,35.81
AA0,0.0000000000,0.0000000000,0.0000000000,733.0000000000,0.0000000000,0.0000000000,43391,1073741824,36.31
AC0,0.0000000000,0.0000000000,0.0000000000,743.0000000000,0.0000000000,0.0000000000,43892,1073741824,36.81
AE0,0.0000000000,0.0000000000,0.0000000000,753.0000000000,0.0000000000,0.0000000000,44393,1073741824,37.31
B00,0.0000000000,0.0000000000,0.0000000000,763.0000000000,0.0000000000,0.0000000000,45056,1073741824,37.98
B20,0.0000000000,0.0000000000,0.0000000000,773.0000000000,0.0000000000,0.0000000000,45557,1073741824,38.48
B40,0.0000000000,0.0000000000,0.0000000000,783.0000000000,0.0000000000,0.0000000000,46058,1073741824,38.98
B60,0.0000000000,0.0000000000,0.0000000000,793.0000000000,0.0000000000,0.0000000000,46559,1073741824,39.48
B80,0.0000000000,0.0000000000,0.0000000000,803.0000000000,0.0000000000,0.0000000000,47060,1073741824,39.98
BA0,0.0000000000,0.0000000000,0.0000000000,812.0000000000,0.0000000000,0.0000000000,47561,1073741824,40.48
BC0,0.0000000000,0.0000000000,0.0000000000,822.0000000000,0.0000000000,0.0000000000,48062,1073741824,40.98
BE0,0.0000000000,0.0000000000,0.0000000000,832.0000000000,0.0000000000,0.0000000000,48563,1073741824,41.48
C00,0.0000000000,0.0000000000,0.0000000000,842.0000000000,0.0000000000,0.0000000000,49226,1073741824,42.15
C20,0.0000000000,0.0000000000,0.0000000000,852.0000000000,0.0000000000,0.0000000000,49727,1073741824,42.65
C40,0.0000000000,0.0000000000,0.0000000000,862.0000000000,0.0000000000,0.0000000000,50228,1073741824,43.15
